row_index,problem,feedback,ambiguity,participant_count_n,gamble_a,gamble_b,expected_value_a,expected_value_b_oracle,expected_value_difference_b_minus_a_oracle,expected_value_benchmark,actual_brate,predicted_brate,residual_predicted_minus_actual,absolute_error,possible_modeling_considerations
1237,1014,True,False,20,p=1→0; p=0→0,p=0.05→-20; p=0.95→1,0.0,-0.05000000000000093,-0.05000000000000093,A,0.86,0.3970397623724662,-0.4629602376275338,0.4629602376275338,"Feedback condition: a binary indicator cannot represent realized experience histories; Expected values are close, so prediction depends on other represented structure; Aggregate choice is on the opposite side of the simple EV benchmark"
7403,5987,True,False,16,p=0.5→25; p=0.5→3,p=0.8→6; p=0.1→77; p=0.1→79,14.0,20.400000000000002,6.400000000000002,B,0.3375,0.665464590359812,0.32796459035981196,0.32796459035981196,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
8429,6868,True,False,19,p=0.1→25; p=0.9→7,p=0.4→7; p=0.6→8,8.8,7.6,-1.200000000000001,A,0.5789473684210527,0.2683897683037602,-0.31055760011729244,0.31055760011729244,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark
4346,3535,True,False,18,p=1→23; p=0→23,p=0.8→14; p=0.2→76,23.0,26.400000000000002,3.400000000000002,B,0.2888888888888889,0.5825283016817511,0.29363941279286215,0.29363941279286215,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark
3996,3256,True,True,16,p=0.95→26; p=0.05→-9,p=0.8→3; p=0.00625→71.5; p=0.03125→72.5; p=0.0625→73.5; p=0.0625→74.5; p=0.03125→75.5; p=0.00625→76.5,24.25,17.200000000000003,-7.049999999999997,A,0.3500000000000001,0.6424841006415686,0.2924841006415685,0.2924841006415685,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; The aggregate target is based on a relatively small participant count
4326,3521,True,False,17,p=0.4→53; p=0.6→-49,p=0.1→-41; p=0.45→1; p=0.225→-1; p=0.225→-5,-8.199999999999996,-4.999999999999999,3.1999999999999966,B,0.22352941176470587,0.5134674847978977,0.28993807303319186,0.28993807303319186,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark
12544,10983,True,False,16,p=1→30; p=0→30,p=0.03125→27.5; p=0.15625→28.5; p=0.3125→29.5; p=0.3125→30.5; p=0.15625→31.5; p=0.03125→32.5,30.0,30.0,0.0,tie,0.2,0.4879160633022368,0.2879160633022368,0.2879160633022368,"Feedback condition: a binary indicator cannot represent realized experience histories; Expected values are close, so prediction depends on other represented structure; The aggregate target is based on a relatively small participant count"
2974,2403,False,False,16,p=1→30; p=0→30,p=0.6→-12; p=0.4→107,30.0,35.60000000000001,5.6000000000000085,B,0.6625000000000001,0.3754960515447627,-0.2870039484552374,0.2870039484552374,The aggregate target is based on a relatively small participant count
1854,1518,False,False,16,p=0.4→35; p=0.6→-38,p=0.25→-42; p=0.375→15; p=0.1875→13; p=0.09375→9; p=0.046875→1; p=0.046875→-15,-8.8,-2.25,6.550000000000001,B,0.35,0.6359282021501502,0.28592820215015025,0.28592820215015025,Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
7736,6255,True,True,15,p=0.75→33; p=0.25→1,p=0.05→-12; p=0.95→30,25.0,27.9,2.8999999999999986,B,0.09333333333333334,0.3711046153825602,0.27777128204922685,0.27777128204922685,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
